name,lat,lon
Sídliště Rohožník,50.07263,14.681809
Zborovská,50.072414,14.407648
Velká Ohrada,50.035473,14.335968
Praha-Kačerov,50.041718,14.46181
Tálínská,50.100906,14.546066
Dřevařská,50.126244,14.56468
Jiráskovo náměstí,50.075962,14.413872
Hloubětín,50.106262,14.537131
Kolová,49.978275,14.349879
Staré Letňany,50.137894,14.516928
K Drsnici,50.14268,14.384613
Sídliště Jinonice,50.051064,14.365638
Ruzyňský hřbitov,50.076027,14.312147
Na Viničkách,49.980045,14.352182
Na Kovárně,50.117928,14.628386
Malvazinky,50.06495,14.3888
Žabovřesky,49.965126,14.383626
Pod Šmukýřkou,50.061184,14.375434
Filosofská,50.02192,14.428201
Křížová,50.063,14.405045
Ve Studeném,50.031593,14.42279
K Hájům,50.05509,14.325163
Zapova,50.073814,14.389523
K Tuchoměřicům,50.11599,14.291384
Nad Košíkem,50.045006,14.519201
Březiněveská,50.12653,14.456921
Nádraží Řeporyje,50.031708,14.309259
Praha-Kyje,50.09756,14.543174
Netluky,50.041092,14.613134
U Kříže,50.112244,14.47554
K Lesoparku,50.049892,14.538555
Polesná,50.07825,14.654918
Vyskočilova,50.048447,14.458592
Dolní Chabry,50.151024,14.437692
Lipence,49.959675,14.352923
Korandova,50.022583,14.421117
Praha-Uhříněves,50.0335,14.591714
Terminál 2,50.105064,14.268054
Sídliště Uhříněves,50.03115,14.611645
Za Farou,50.020054,14.350725
Praha-Zbraslav,49.97053,14.399713
Jalodvorská,50.013664,14.457426
Slánská,50.064484,14.30897
Fryčovická,50.13928,14.504915
Na Vypichu,50.084038,14.34005
Do Koutů,49.99196,14.416426
Benkova,50.03788,14.499432
Ke Kaménce,50.07151,14.30245
Říčanova,50.081387,14.353058
Brusnice,50.093037,14.392054
U Kunratického lesa,50.022926,14.488953
K Říčanům,50.015427,14.632273
Smíchovský hřbitov,50.062145,14.389498
Zálesí,50.028137,14.451393
Dolnočernošická,49.95974,14.328898
Na Parcelách,50.110508,14.335283
Sportareál Satalice,50.123398,14.566725
Nádraží Radotín,49.98459,14.36313
Kloboučnická,50.060455,14.449934
Radiová,50.069675,14.537297
Pavelkova,50.0,14.427351
Plzeňka,50.063583,14.408768
Podlužanská,50.07982,14.649525
U Mezníku,50.051106,14.623074
Čechovo náměstí,50.068035,14.458915
Katovická,50.13211,14.428075
Teplárna Malešice,50.08314,14.525901
Kavkazská,50.069565,14.465633
Divadlo pod Palmovkou,50.10566,14.472753
Valdštejnské náměstí,50.090294,14.405113
Krocínka,50.116043,14.503172
Lehárova,50.00888,14.405748
Sídliště Na Groši,50.05796,14.521374
Divadlo Gong,50.106667,14.488344
Solidarita,50.076874,14.494266
Obchodní centrum Černý Most,50.10823,14.587389
Kavalírka,50.06994,14.370382
Malá Ohrada,50.040306,14.34021
Sídliště Petrovice,50.03468,14.563305
Vozovna Motol,50.06786,14.340922
V Kratinách,50.145668,14.442517
Šperlova,50.034233,14.510867
Palackého náměstí,50.07274,14.414446
Darwinova,50.01081,14.409959
Řeporyjské náměstí,50.032806,14.312009
Na Slovance,50.124107,14.472532
Betonárka,50.036743,14.574778
Prašná,50.035,14.520884
Mladějovská,50.13263,14.560398
Formanská,50.01437,14.544066
Praha-Řeporyje,50.032513,14.308306
Kačerov,50.041855,14.460325
Truhlářská,50.08946,14.428683
Bucharova,50.054016,14.339026
Vojetická,49.976498,14.348144
Nemocnice Bohnice - Divadlo Za plotem,50.134216,14.419077
Mokrá,50.033554,14.50448
U Waltrovky,50.05867,14.373299
Baně,49.95268,14.379145
Poštovská,50.11059,14.508905
Čakovice,50.151436,14.530387
Za Pavilonem,50.060936,14.588411
Obchodní centrum Hostivař,50.053757,14.519269
Klánova,50.02136,14.423567
Bazar,50.09875,14.671466
Starochuchelská,50.01145,14.385867
Dunajecká,50.125557,14.426439
Betáň,50.007286,14.479702
Na Šafránce,50.075542,14.3471
Nad Klamovkou,50.07268,14.37727
Na Staré cestě,50.038555,14.441593
Jankovcova,50.10953,14.444365
Rozýnova,50.08005,14.368742
Nedvězí,50.01675,14.655518
Butovická,50.051346,14.362932
Kokořínská,50.14571,14.485134
Horní Lysolaje,50.129604,14.365529
Na Štamberku,50.146645,14.480214
Špitálka,50.110466,14.378151
Stará Stodůlecká,50.049385,14.357301
Goetheho,50.107437,14.404092
